,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,10450,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem']",21000000.0,19480456.0,19480456.0,False,,1,,,,2023-09-09T15:51:00.000Z,25899.513401130203,6709924663.444051,-51.4921,0.20597697,0.22072226,-0.04461488,-12.02443409,-15.24660814,0.51158836,504534331232.12726,48.3227,543889781423.73,,2023-09-09T15:51:00.000Z,,,,,,2023-09-09 15:53:14.390782+00:00
1,1027,Ethereum,ETH,ethereum,7354,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1']",,120219494.8060382,120219494.8060382,True,,2,,,,2023-09-09T15:51:00.000Z,1635.5456795481725,2668927692.7776337,-52.6158,0.21634885,0.49092179,-0.25281052,-11.64378231,-12.61200093,-6.1764397,196624475327.47974,18.8324,196624475327.48,,2023-09-09T15:51:00.000Z,,,,,,2023-09-09 15:53:14.390782+00:00
2,825,Tether USDt,USDT,tether,61823,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,83016246102.32362,85437198727.24951,True,,3,,,,2023-09-09T15:51:00.000Z,0.9998026462420869,11865359308.444294,-44.6023,0.01173833,0.02129767,-0.01723132,0.06980626,-0.0132152,-0.07313111,82999862534.1875,7.9506,85420337375.02,,2023-09-09T15:51:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-09-09 15:53:14.390782+00:00
3,1839,BNB,BNB,bnb,1616,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,153849364.4834474,153849364.4834474,False,,4,,,,2023-09-09T15:51:00.000Z,215.13448575148456,236753930.58589253,-48.5834,0.13154534,0.45481488,0.04341977,-11.10826015,-12.91261969,-8.59322535,33098303911.33917,3.1701,33098303911.34,,2023-09-09T15:51:00.000Z,,,,,,2023-09-09 15:53:14.390782+00:00
4,52,XRP,XRP,xrp,1065,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",100000000000.0,53083046512.0,99988441546.0,False,,5,,,,2023-09-09T15:51:00.000Z,0.5041965826458213,455762480.50458604,-38.4457,0.22669478,0.63514707,0.5817293,-20.06623827,6.42274393,-0.78845857,26764290647.779587,2.5638,50419658264.58,,2023-09-09T15:51:00.000Z,,,,,,2023-09-09 15:53:14.390782+00:00
5,3408,USD Coin,USDC,usd-coin,13995,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,26125970424.123486,26125970424.123486,False,,6,,,,2023-09-09T15:51:00.000Z,1.0002164375418334,1598152212.142513,-47.9621,0.01808366,0.01936568,0.00179381,0.01189013,0.02309824,0.02101402,26131625064.940094,2.5029,26131625064.94,,2023-09-09T15:51:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-09-09 15:53:14.390782+00:00
6,74,Dogecoin,DOGE,dogecoin,781,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,140937066383.70523,140937066383.70523,True,,7,,,,2023-09-09T15:51:00.000Z,0.06354039201746436,129282042.81693375,-25.5255,0.18033315,0.99850362,-0.53582071,-16.4952466,-1.91831855,3.43376469,8955196447.812029,0.8577,8955196447.81,,2023-09-09T15:51:00.000Z,,,,,,2023-09-09 15:53:14.390782+00:00
7,2010,Cardano,ADA,cardano,929,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35088024221.196,36152657252.524,False,,8,,,,2023-09-09T15:51:00.000Z,0.2545117715976671,66450947.20168331,-41.391,0.09994334,0.08060612,-0.80178875,-14.48937756,-12.46186888,-4.09173351,8930315206.398447,0.8554,11453029721.9,,2023-09-09T15:51:00.000Z,,,,,,2023-09-09 15:53:14.390782+00:00
8,5426,Solana,SOL,solana,505,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",,410611717.98105454,557053774.8087795,True,,9,,,,2023-09-09T15:51:00.000Z,19.538846079669856,124545439.22136097,-50.9829,0.19684123,-0.0273706,-0.2661818,-20.31511006,-11.49278943,27.95722601,8022879156.140632,0.7685,10884187964.09,,2023-09-09T15:51:00.000Z,,,,,,2023-09-09 15:53:14.390782+00:00
9,1958,TRON,TRX,tron,836,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,89250926597.31377,89250972881.416,True,,10,71659659264.0,5654662034.211071,,2023-09-09T15:51:00.000Z,0.0789099765794146,105629276.29728231,-27.5365,0.08332694,0.33777641,2.55495314,2.33505707,2.31805455,13.97549001,7042788527.485082,0.6745,7042792179.76,,2023-09-09T15:51:00.000Z,,,,,,2023-09-09 15:53:14.390782+00:00
0,1,Bitcoin,BTC,bitcoin,10450,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem']",21000000.0,19480456.0,19480456.0,False,,1,,,,2023-09-09T15:53:00.000Z,25904.100841187334,6698325223.5820465,-51.6229,0.2121156,0.24925721,0.00412707,-11.99308346,-15.21793577,0.54942371,504623696656.31287,48.3313,543986117664.93,,2023-09-09T15:53:00.000Z,,,,,,2023-09-09 15:55:01.274058+00:00
1,1027,Ethereum,ETH,ethereum,7354,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1']",,120219494.8060382,120219494.8060382,True,,2,,,,2023-09-09T15:53:00.000Z,1635.8672822453595,2662249376.518985,-52.8134,0.20997039,0.52444041,-0.19431582,-11.61628004,-12.55214659,-6.13988956,196663138241.26382,18.8361,196663138241.26,,2023-09-09T15:53:00.000Z,,,,,,2023-09-09 15:55:01.274058+00:00
